trainer/Advantage Score Max,trainer/Advantage Score Mean,trainer/Advantage Score Min,trainer/Advantage Score Std,trainer/Advantage Weights Max,trainer/Advantage Weights Mean,trainer/Advantage Weights Min,trainer/Advantage Weights Std,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/batch,trainer/epoch_time,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/std Max,trainer/policy/std Mean,trainer/policy/std Min,trainer/policy/std Std,trainer/rewards Max,trainer/rewards Mean,trainer/rewards Min,trainer/rewards Std,trainer/terminals Max,trainer/terminals Mean,trainer/terminals Min,trainer/terminals Std
0.0011161603,0.000119448356,-0.0007590661,0.00028975584,0.007828088,0.0078124995,0.007798784,4.5290744e-06,44.96894,38.055206,28.273365,3.4138672,38.05542,0.0,-0.54804236,-1.0051786,0.49807122,0.0,-8.070156e-05,-0.0010185103,0.000216331,0.0,-1.4503797e-05,-0.00065654656,8.835832e-05,0.5483529,0.5483958,0,0.013637781143188477,0.0045484332,9.8182674e-05,-0.0024641533,0.0006614871,0.049787067,0.04978707,0.049787067,3.7252903e-09,0.0,-0.546875,-1.0,0.49779788,0.0,0.0,0.0,0.0
0.23593688,-0.038691603,-0.3380792,0.080967754,0.013359538,0.0078125,0.0042384537,0.0012296637,41.768417,35.882103,25.590607,3.143258,37.892715,-0.011322734,-2.0251467,-4.9020963,1.7128177,0.0,-2.013602,-4.780485,1.6160228,0.0,-2.0191407,-4.8168664,1.635555,0.046715025,0.045066267,1000,8.639183282852173,0.99971944,-0.06358212,-0.99998873,0.8092177,0.058157265,0.054387804,0.052117318,0.0016605041,0.0,-0.46875,-1.0,0.49902248,0.0,0.0,0.0,0.0
0.27879,-0.036977783,-0.54409266,0.124044314,0.014270173,0.0078125,0.0027522156,0.0018417644,41.394028,35.08809,22.294458,3.1919498,39.004814,0.0,-3.8440967,-10.043412,3.4579227,0.0,-3.9066522,-9.969691,3.4434602,0.0,-3.884019,-10.047988,3.4320111,0.12534799,0.14672858,2000,8.96988844871521,0.9999325,-0.070346385,-0.99998933,0.81880295,0.06306831,0.056157857,0.052756596,0.0025763924,0.0,-0.453125,-1.0,0.49779788,0.0,0.0,0.0,0.0
0.27876282,-0.04510393,-1.1805763,0.16658168,0.014268707,0.007812501,0.00077058177,0.0021419274,42.550377,35.039642,23.51929,3.358334,41.234283,0.0,-6.049933,-18.381065,5.337992,0.0,-6.188062,-19.025846,5.3217955,0.0,-6.142191,-19.360039,5.3082047,0.12483948,0.13376479,3000,10.409319162368774,0.9999535,-0.05470362,-0.999996,0.82541883,0.06655708,0.057775896,0.052870616,0.0034541131,0.0,-0.5,-1.0,0.5,0.0,0.0,0.0,0.0
0.5,-0.08087361,-0.7326565,0.18716958,0.023373857,0.0078124995,0.0019863627,0.0028321403,40.553974,33.903023,24.010077,3.7311065,41.225113,0.0,-7.2369356,-19.93505,6.617168,0.0,-7.2524242,-19.784302,6.563949,0.0,-7.30568,-19.899868,6.5720925,0.21827969,0.20880532,4000,10.811366081237793,0.99995565,-0.07330433,-0.99999994,0.8177411,0.07010412,0.05914831,0.052306183,0.0043644547,0.0,-0.484375,-1.0,0.4997558,0.0,0.0,0.0,0.0
0.32191563,-0.1180193,-2.2371874,0.2663534,0.017213715,0.0078125,0.00010305427,0.002724449,38.255093,33.577805,25.641214,2.9251056,42.062893,0.0,-8.595286,-23.711975,7.9709334,0.0,-8.497032,-23.919338,7.898664,0.0,-8.519278,-23.605528,7.9012923,0.27115607,0.26436618,5000,10.856047630310059,0.9999271,-0.059556175,-0.9999997,0.8197185,0.07418489,0.06041494,0.050884128,0.0056404625,0.0,-0.5234375,-1.0,0.4994504,0.0,0.0,0.0,0.0
0.5,-0.1031245,-0.6866522,0.20481533,0.024020437,0.0078125,0.0022380403,0.0033646608,39.925655,32.953712,21.987207,3.414267,42.46439,0.0,-9.267572,-31.0292,9.484795,0.0,-9.483645,-31.222666,9.428487,0.0,-9.505312,-30.890593,9.42633,0.32239985,0.3754206,6000,11.001780986785889,0.99996114,-0.07599037,-0.9999996,0.8149477,0.07873577,0.06137156,0.048548415,0.0073015317,0.0,-0.4296875,-1.0,0.49503148,0.0,0.0,0.0,0.0
0.5,-0.10788214,-1.220048,0.25631997,0.023581445,0.0078125,0.0007560591,0.0036815882,41.53177,32.742687,19.893337,3.7158546,42.357384,0.0,-9.6111355,-33.41452,10.042518,0.0,-9.60504,-32.054733,10.098142,0.0,-9.554329,-32.627785,10.1173115,0.40690902,0.47197887,7000,10.902602195739746,0.99996877,-0.066702284,-0.99999964,0.8253084,0.08321828,0.061727613,0.04511034,0.009203965,0.0,-0.4296875,-1.0,0.49503148,0.0,0.0,0.0,0.0
0.47319984,-0.13209894,-1.1103954,0.2334041,0.0238619,0.0078125,0.0010051056,0.0032055816,39.104492,33.10718,24.149038,3.327867,45.29399,0.0,-12.232591,-43.439495,10.787529,0.0,-12.143402,-44.52568,10.846649,0.0,-12.182996,-44.62702,10.917968,0.60556364,0.61596394,8000,11.035688161849976,0.9999579,-0.057953507,-1.0,0.8310653,0.08629373,0.06121992,0.041046217,0.010978027,0.0,-0.53125,-1.0,0.49902248,0.0,0.0,0.0,0.0
0.5,-0.18805557,-1.355586,0.33843374,0.02554723,0.0078125,0.0006246004,0.004560229,42.134686,34.108627,21.72258,3.4616404,47.73444,0.0,-13.757978,-43.42894,12.447671,0.0,-13.5630245,-44.524532,12.295887,0.0,-13.632835,-43.58844,12.422242,1.1887234,1.0651599,9000,11.12106704711914,0.99997646,-0.061016977,-1.0,0.8240839,0.08755138,0.060044467,0.038416892,0.01207675,0.0,-0.546875,-1.0,0.49779788,0.0,0.0,0.0,0.0
0.5,-0.1669707,-1.3648119,0.3118374,0.025257505,0.0078125,0.0006062272,0.004176208,41.87853,34.324734,24.219048,3.645643,47.96492,0.0,-13.67186,-51.084267,13.674533,0.0,-13.678997,-50.77621,13.755937,0.0,-13.550951,-50.943424,13.720142,0.71477276,0.8491097,10000,11.270164489746094,0.9999832,-0.071617536,-0.9999994,0.82385087,0.08806183,0.05877006,0.03629724,0.012461706,0.0,-0.46875,-1.0,0.49902248,0.0,0.0,0.0,0.0
0.5,-0.20845173,-1.736393,0.37841055,0.025909701,0.0078125,0.00029577137,0.0045770374,41.434597,35.505016,21.617773,3.3331592,50.94013,0.0,-15.495874,-45.54045,13.067875,0.0,-15.399039,-46.40799,13.072457,0.0,-15.449884,-45.94718,13.1020155,0.85474384,0.99460024,11000,12.038685321807861,0.9999941,-0.07752496,-1.0,0.82433504,0.08756376,0.057693094,0.03496729,0.012611725,0.0,-0.5546875,-1.0,0.49700028,0.0,0.0,0.0,0.0
0.5,-0.15725064,-1.6782389,0.34123904,0.02435239,0.0078125,0.00031228227,0.0043645077,43.0394,35.94789,25.998793,3.126453,50.658752,0.0,-14.697214,-49.78532,15.37076,0.0,-14.730768,-50.317833,15.371829,0.0,-14.597738,-49.789867,15.288561,0.55828,0.5908377,12000,12.748008966445923,0.9999992,-0.06985215,-0.9999999,0.82413775,0.086502396,0.056807224,0.03439123,0.0124029955,0.0,-0.421875,-1.0,0.49385878,0.0,0.0,0.0,0.0
0.5,-0.26905796,-2.73909,0.47248852,0.02712416,0.0078125,4.1679115e-05,0.005165885,42.19488,35.765923,26.87968,3.2853732,50.169575,0.0,-14.366308,-62.853558,14.493291,0.0,-14.38814,-62.615265,14.455353,0.0,-14.477379,-62.380596,14.45911,1.1220932,1.1082383,13000,12.996106386184692,0.99996954,-0.08081468,-1.0,0.82347095,0.085339636,0.055852268,0.033890963,0.0121685825,0.0,-0.484375,-1.0,0.4997558,0.0,0.0,0.0,0.0
0.5,-0.3188975,-2.1309586,0.4522383,0.029543685,0.0078125,0.00015319447,0.0054265186,42.830486,36.021233,25.656565,3.5146122,51.934093,0.0,-15.7114,-52.256577,13.8647995,0.0,-16.027918,-51.784813,13.793153,0.0,-15.919165,-52.873795,13.803399,1.5933754,1.4714631,14000,10.625457525253296,0.9999948,-0.04625501,-1.0,0.8277611,0.08478581,0.055303723,0.03334322,0.011994128,0.0,-0.4921875,-1.0,0.49993896,0.0,0.0,0.0,0.0
0.5,-0.23384829,-2.4074974,0.4824023,0.02519149,0.0078124995,7.513351e-05,0.0048649604,43.9541,36.971924,28.023909,3.3219662,52.49762,0.0,-15.653236,-69.12355,16.203472,0.0,-15.536253,-68.10615,16.220879,0.0,-15.426622,-67.13957,16.137209,1.2836465,1.4438465,15000,10.833178043365479,0.9999919,-0.067073,-1.0,0.82512337,0.08383424,0.054817718,0.032410026,0.012164464,0.0,-0.4453125,-1.0,0.49700028,0.0,0.0,0.0,0.0
