trainer/Advantage Score Max,trainer/Advantage Score Mean,trainer/Advantage Score Min,trainer/Advantage Score Std,trainer/Advantage Weights Max,trainer/Advantage Weights Mean,trainer/Advantage Weights Min,trainer/Advantage Weights Std,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/batch,trainer/epoch_time,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/std Max,trainer/policy/std Mean,trainer/policy/std Min,trainer/policy/std Std,trainer/rewards Max,trainer/rewards Mean,trainer/rewards Min,trainer/rewards Std,trainer/terminals Max,trainer/terminals Mean,trainer/terminals Min,trainer/terminals Std
0.0018509608,7.6941535e-05,-0.00086262234,0.00037721806,0.007840266,0.007812499,0.0077978307,5.8989326e-06,44.78019,38.51443,28.169662,3.2056673,38.514565,0.0,-0.53274435,-1.0121365,0.49940035,0.0,-7.5129155e-06,-0.00035865232,4.258048e-05,0.0,-4.8011392e-05,-0.00086262234,0.0001701789,0.5332127,0.53314185,0,0.013075113296508789,0.0035061797,-3.3657194e-05,-0.0040916293,0.0006652585,0.049787067,0.04978707,0.049787067,3.7252903e-09,0.0,-0.53125,-1.0,0.49902248,0.0,0.0,0.0,0.0
0.24575305,-0.041638367,-0.52585864,0.10296195,0.013606743,0.0078124995,0.0029076408,0.0015035887,43.00628,35.27108,24.513355,3.7255766,37.46091,-0.06883161,-2.2246666,-4.8704777,1.7444097,-0.050758652,-2.2021341,-5.046879,1.6579708,0.0,-2.1892269,-5.037674,1.6683754,0.07424144,0.071665935,1000,9.033522129058838,0.9998312,-0.079941906,-0.99997455,0.8093566,0.05806466,0.05439646,0.052076653,0.0016626491,0.0,-0.5,-1.0,0.5,0.0,0.0,0.0,0.0
0.43473387,-0.0652238,-0.6995617,0.15141,0.020317258,0.0078125,0.0021019795,0.002394653,43.414318,35.11123,24.894867,3.2025797,39.192524,-0.011990695,-4.02699,-10.391422,3.436505,-0.0067907525,-4.0730743,-10.253421,3.3937082,0.0,-4.0958486,-10.381997,3.4088583,0.09011214,0.09606114,2000,8.902947425842285,0.99989396,-0.06259617,-0.99999213,0.8169653,0.06307429,0.056156535,0.05267519,0.0026013057,0.0,-0.4921875,-1.0,0.49993896,0.0,0.0,0.0,0.0
0.28008556,-0.08481437,-1.0066257,0.17676352,0.015393082,0.0078125,0.0011740928,0.0022302195,40.461834,34.192955,24.412228,3.4044569,39.55967,-0.0144358445,-5.4536676,-15.037606,4.940304,-0.019074446,-5.3671865,-15.290644,4.923731,0.0,-5.372098,-15.483209,4.939692,0.11925013,0.12915732,3000,9.940826892852783,0.99994606,-0.05908361,-0.99999386,0.82684124,0.06677421,0.057709966,0.052916117,0.0034950376,0.0,-0.5,-1.0,0.5,0.0,0.0,0.0,0.0
0.41338634,-0.088407904,-0.80122256,0.1827369,0.020072768,0.0078125,0.0017685256,0.0025857983,41.82182,34.11662,25.61854,3.3177226,41.5344,-0.014938855,-7.4923143,-22.375652,6.8805685,-0.052965485,-7.4165187,-22.537436,6.782416,0.0,-7.4120197,-22.050411,6.770176,0.20766772,0.24677846,4000,11.258443832397461,0.99986476,-0.06790226,-0.9999993,0.8183123,0.0703451,0.05906546,0.0523585,0.0044378005,0.0,-0.4765625,-1.0,0.4994504,0.0,0.0,0.0,0.0
0.5,-0.099867366,-1.972969,0.26614538,0.023437817,0.0078125,0.00016669536,0.0031959882,40.678295,33.040863,20.20763,3.683778,41.36819,-0.06724906,-8.421577,-26.017626,7.9187565,-0.06500192,-8.261972,-24.674353,7.789273,0.0,-8.265277,-25.008852,7.8654227,0.3219745,0.36447,5000,11.281085968017578,0.999963,-0.066408746,-0.9999968,0.814709,0.07435929,0.06028184,0.05112934,0.005720763,0.0,-0.5,-1.0,0.5,0.0,0.0,0.0,0.0
0.5,-0.09624003,-1.0156355,0.2640742,0.022794602,0.0078124995,0.0010999369,0.0037328673,40.33829,33.331295,20.488472,3.5616057,44.209827,-0.16406035,-10.733417,-32.574512,9.6376,-0.24631606,-10.781538,-32.428173,9.619565,0.0,-10.918888,-32.705536,9.6483965,0.18088044,0.26426575,6000,12.287882566452026,0.9999792,-0.06817795,-0.9999998,0.8240362,0.078812174,0.061172437,0.048739556,0.007359346,0.0,-0.46875,-1.0,0.49902248,0.0,0.0,0.0,0.0
0.48804188,-0.08732296,-0.84965706,0.22306089,0.022541648,0.0078125,0.0015526556,0.003318079,38.68929,32.626686,19.717175,3.4485753,45.828503,-0.116778746,-13.192948,-34.48283,11.342468,-0.11656389,-13.1782055,-34.424168,11.357071,0.0,-13.109869,-34.00321,11.317143,0.5542224,0.51970047,7000,10.200175285339355,0.99998987,-0.08870003,-0.99999994,0.82041115,0.08351266,0.061499823,0.045588885,0.009282185,0.0,-0.5390625,-1.0,0.4984718,0.0,0.0,0.0,0.0
0.5,-0.1131749,-1.3672895,0.29362932,0.023192603,0.0078125,0.0005539141,0.0038296483,40.259438,33.114777,22.831947,3.2436402,46.772377,-0.17638113,-13.793104,-43.999702,12.0188265,-0.15903658,-13.61079,-42.896667,11.874423,0.0,-13.69064,-41.511337,11.85486,0.7090197,0.8563642,8000,11.058099508285522,0.9999943,-0.081158765,-0.99999994,0.8235678,0.087092504,0.061086897,0.04218763,0.010970142,0.0,-0.5390625,-1.0,0.4984718,0.0,0.0,0.0,0.0
0.5,-0.17607652,-1.4212589,0.3222172,0.025211344,0.0078125,0.0005405199,0.0046332018,40.787727,34.03546,22.665436,3.351261,47.67135,-0.041454654,-13.482153,-40.525116,11.781334,-0.08226825,-13.583774,-40.063686,11.612295,0.0,-13.664961,-40.281067,11.66887,1.3407289,1.2650504,9000,10.98122501373291,0.9999934,-0.06513477,-0.9999997,0.82573515,0.08897068,0.060091395,0.03930565,0.0120133,0.0,-0.5390625,-1.0,0.4984718,0.0,0.0,0.0,0.0
0.5,-0.17773125,-1.1518269,0.30460462,0.025965916,0.0078125,0.0009542124,0.003989374,41.39337,34.563126,26.499046,3.490246,49.612026,-0.4556959,-14.801344,-45.95484,13.856433,-0.593396,-14.998241,-45.226635,13.766319,-0.091059834,-14.940376,-46.035,13.790808,0.9440475,0.82241905,10000,9.771374464035034,0.9999861,-0.056206953,-1.0,0.8274033,0.08847831,0.058691934,0.037253764,0.012308333,0.0,-0.46875,-1.0,0.49902248,0.0,0.0,0.0,0.0
0.5,-0.14290047,-1.5773239,0.30312422,0.024334915,0.0078125,0.00038184682,0.0039911973,41.419083,34.840313,26.32614,3.1824427,49.08154,-0.24470519,-14.224426,-46.960896,13.236058,-0.26961854,-14.130587,-47.022522,12.992824,-0.14272247,-14.184297,-47.9027,13.020239,1.6232425,1.5846728,11000,9.972361087799072,0.9999668,-0.062154014,-0.99999994,0.8178176,0.08861928,0.057657957,0.035930824,0.012547188,0.0,-0.4609375,-1.0,0.4984718,0.0,0.0,0.0,0.0
