Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/goal_achieved Max,eval/env_infos/final/goal_achieved Mean,eval/env_infos/final/goal_achieved Min,eval/env_infos/final/goal_achieved Std,eval/env_infos/goal_achieved Max,eval/env_infos/goal_achieved Mean,eval/env_infos/goal_achieved Min,eval/env_infos/goal_achieved Std,eval/env_infos/initial/goal_achieved Max,eval/env_infos/initial/goal_achieved Mean,eval/env_infos/initial/goal_achieved Min,eval/env_infos/initial/goal_achieved Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/goal_achieved Max,expl/env_infos/final/goal_achieved Mean,expl/env_infos/final/goal_achieved Min,expl/env_infos/final/goal_achieved Std,expl/env_infos/goal_achieved Max,expl/env_infos/goal_achieved Mean,expl/env_infos/goal_achieved Min,expl/env_infos/goal_achieved Std,expl/env_infos/initial/goal_achieved Max,expl/env_infos/initial/goal_achieved Mean,expl/env_infos/initial/goal_achieved Min,expl/env_infos/initial/goal_achieved Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/total (s),time/training (s),trainer/Advantage Score Max,trainer/Advantage Score Mean,trainer/Advantage Score Min,trainer/Advantage Score Std,trainer/Advantage Weights Max,trainer/Advantage Weights Mean,trainer/Advantage Weights Min,trainer/Advantage Weights Std,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/std Max,trainer/policy/std Mean,trainer/policy/std Min,trainer/policy/std Std,trainer/rewards Max,trainer/rewards Mean,trainer/rewards Min,trainer/rewards Std,trainer/terminals Max,trainer/terminals Mean,trainer/terminals Min,trainer/terminals Std
0,0,0.99999785,-0.021858197,-1.0,0.8338185,9587.865266811015,5,11107.781231293831,9587.865266811015,6204.103812252134,1745.0827676834429,60.975292984516486,47.939326334055075,-0.5641021346257471,24.033866929793128,True,0.8,False,0.4,True,0.772,False,0.41954260808647315,False,0.0,False,0.0,5,1000,200,200.0,200,0.0,1.2315977,0.0040735765,-1.1890876,0.8458434,9110.788735320592,5,9987.560306235457,9110.788735320592,5996.605634747704,1561.1596878902117,60.95960123173026,45.55394367660297,-0.571079480427631,25.71845350155857,True,1.0,True,0.0,True,0.735,False,0.4413332074521472,False,0.0,False,0.0,10,2000,200,200.0,200,0.0,96378,0.005766996999227558,38.26727659199787,2.3324757939990377,1.1711846489997697,0.00785606200042821,0.02256146199943032,315.25254971499817,34.72743162799998,0.5,-0.3513137,-6.7513046,0.6451798,0.0034122833,0.0009765625,1.7164924e-09,0.0007338896,46.187466,38.305862,19.721008,3.381063,59.41352,58.67513,-20.243937,-125.93008,22.618555,-1.6834726,-21.11142,-129.70163,20.416693,-1.4399096,-21.09943,-128.36877,20.534855,63.017,63.82831,1000,0.9999985,-0.064064555,-1.0,0.82785153,0.07916896,0.050650537,0.03043101,0.011562665,60.95655,0.57784265,-1.0,7.87403,0.0,0.0,0.0,0.0
1,1,0.9999977,-0.0107427975,-1.0,0.8542526,8860.466027043141,5,10891.737321341643,8860.466027043141,3709.4819929097343,2605.2457565469604,60.94577017214884,44.30233013521571,-0.8438128951907532,26.908732735534468,True,0.8,False,0.4,True,0.723,False,0.4475164801434691,False,0.0,False,0.0,10,2000,200,200.0,200,0.0,1.2462897,-0.06529604,-1.1842157,0.8308371,6990.0908905314745,5,11035.996651566607,6990.0908905314745,637.9167737936943,3995.7018773924888,60.95889251294163,34.950454452657375,-0.759610782780575,29.56866576608917,True,0.6,False,0.48989794855663565,True,0.563,False,0.4960151207372614,False,0.0,False,0.0,15,3000,200,200.0,200,0.0,97378,0.005804853000881849,35.37652550900384,1.2173246140009724,1.1352747020009701,0.007967780000399216,0.009277363000364858,350.63334359500004,33.00087619700025,0.5,-0.36492056,-4.7349777,0.6215782,0.003488056,0.0009765625,9.8978205e-08,0.0007661839,47.167862,39.545662,28.288166,3.3600442,60.113503,60.95928,-19.13479,-129.39061,25.385458,0.0,-20.573132,-127.88546,22.48837,0.0,-20.55651,-127.66432,22.487864,89.26788,89.05576,2000,0.999999,-0.066882655,-1.0,0.8273964,0.076849066,0.04799941,0.02782925,0.011394509,60.95928,0.9820755,-1.0,9.322749,0.0,0.0,0.0,0.0
2,2,0.9999981,-0.075053856,-1.0,0.8324268,7161.869866580282,5,11291.547095970058,7161.869866580282,1738.6946956372167,3543.12299936072,60.94827941276649,35.80934933290141,-0.7641361291486268,26.9342630442471,True,0.6,False,0.48989794855663565,True,0.531,False,0.49903807469971667,False,0.0,False,0.0,15,3000,200,200.0,200,0.0,1.2174549,-0.09739103,-1.164788,0.8350167,7002.255470424056,5,11362.917451249083,7002.255470424056,1852.8588949103564,3925.580588332136,60.974817563295154,35.011277352120274,-0.5961869612821963,26.757140598290224,True,0.6,False,0.48989794855663565,True,0.512,False,0.49985597925802594,False,0.0,False,0.0,20,4000,200,200.0,200,0.0,98378,0.005781327001386671,38.499101519999385,1.204478133999146,1.2064924429996609,0.008313984999404056,0.00939701900097134,389.1366641040022,36.06463861199882,0.5,-0.3947793,-7.245758,0.705691,0.0035182547,0.0009765625,6.5833555e-10,0.0007752431,47.61385,39.821766,28.035662,3.2913249,58.979137,60.9577,-17.70911,-130.6911,24.368431,0.0,-19.209045,-133.3205,21.008831,0.0,-19.196148,-135.30917,21.061012,99.344185,99.98813,3000,0.999999,-0.06743931,-1.0,0.8265583,0.07695392,0.047532156,0.027700188,0.011487006,60.958405,1.2024748,-1.0,9.86895,0.0,0.0,0.0,0.0
3,3,0.9999985,-0.069471575,-1.0,0.8409806,8403.965884622288,5,11443.661661536518,8403.965884622288,1083.2217503333154,3748.7221350857503,60.93244039670191,42.01982942311144,-0.7460655446509665,26.790805012702485,True,0.8,False,0.4000000000000001,True,0.665,False,0.4719904660054056,False,0.0,False,0.0,20,4000,200,200.0,200,0.0,1.2675779,-0.058332015,-1.2291101,0.8267412,9599.0256206613,5,11373.699440807928,9599.0256206613,4617.953458690385,2530.6160382191233,60.95543160847106,47.995128103306506,-0.6889515731772852,24.421513790984022,True,0.8,False,0.4000000000000001,True,0.78,False,0.41424630354415964,False,0.0,False,0.0,25,5000,200,200.0,200,0.0,99378,0.0057939649996114895,32.576882035999006,1.1875148199997057,1.1864516459991137,0.005782451000413857,0.007504254001105437,421.7177654320021,30.183834899999056,0.5,-0.4466923,-6.2602386,0.80892,0.003530802,0.0009765625,4.742471e-09,0.0008063623,48.73447,40.0789,27.366562,3.381828,59.678753,60.96178,-18.563145,-113.02435,25.159752,0.0,-19.738638,-113.536476,22.243296,0.0,-19.493782,-113.94973,22.183865,82.67403,82.722435,4000,0.999999,-0.068378866,-1.0,0.82648265,0.07634993,0.04708172,0.0277384,0.011322518,60.96178,0.89826876,-1.0,8.944966,0.0,0.0,0.0,0.0
4,4,0.99999815,-0.03900056,-1.0,0.8088405,7524.148147223817,5,11306.753484059785,7524.148147223817,2287.0006780255376,3859.7295062083613,60.95731476924283,37.62074073611907,-0.30425611113546924,26.49149976686574,True,0.6,False,0.48989794855663565,True,0.56,False,0.4963869458396342,False,0.0,False,0.0,25,5000,200,200.0,200,0.0,1.259312,-0.03367761,-1.2442513,0.8145914,10232.080071411878,5,11016.929619175153,10232.080071411878,8208.836327993624,1038.6511681369516,60.958769799087555,51.16040035705938,-0.05111219500991193,21.6485023275647,True,1.0,True,0.0,True,0.83,False,0.375632799419859,False,0.0,False,0.0,30,6000,200,200.0,200,0.0,100378,0.0058081289989786455,38.97363145900272,1.0997312100007548,1.1427403030011192,0.00813640900014434,0.009512549000646686,460.69538279600056,36.707702859001074,0.5,-0.45409054,-6.611931,0.8951084,0.003399957,0.0009765625,2.2601059e-09,0.0007889658,48.67798,40.274384,23.265614,3.3444746,58.875557,60.9692,-16.777134,-190.17429,27.646133,0.0,-18.748251,-189.59221,23.787233,0.0,-18.62082,-187.41566,23.766401,125.935165,125.9964,5000,0.9999992,-0.07020116,-1.0,0.8259473,0.07589493,0.046666265,0.0273583,0.011261287,60.9692,1.6596224,-1.0,11.040954,0.0,0.0,0.0,0.0
5,5,0.9999943,-0.051151272,-1.0,0.81467587,10524.910710570508,5,11367.21980217884,10524.910710570508,10110.5342171902,441.26854942120207,60.9581792214778,52.62455355285251,-0.1897614603863955,20.578582897260812,True,1.0,True,0.0,True,0.859,False,0.3480215510568274,False,0.0,False,0.0,30,6000,200,200.0,200,0.0,1.2427936,0.029218215,-1.1618869,0.83957905,9149.002388474726,5,10708.797726990762,9149.002388474726,5231.170776525181,1990.7494828605854,60.96513561853557,45.74501194237362,-0.6902274957902165,24.9346765026243,True,1.0,True,0.0,True,0.727,False,0.44550084175004656,False,0.0,False,0.0,35,7000,200,200.0,200,0.0,101378,0.005784056998891174,34.31345023099675,1.191043433998857,1.1748911699996825,0.008050489999732235,0.013716556999497698,495.01311810300103,31.91996452300009,0.5,-0.42391384,-4.752239,0.8295649,0.003299255,0.0009765625,9.0443805e-08,0.000789816,47.629303,40.352364,28.376797,3.5182648,58.924393,60.957626,-16.501062,-121.997856,28.108181,0.0,-18.65341,-117.54542,23.906286,0.0,-18.579685,-116.630455,23.814333,133.6235,133.9411,6000,1.0,-0.062395643,-1.0,0.827741,0.075740345,0.046473075,0.02749062,0.011289712,60.957626,1.8090903,-1.0,11.356627,0.0,0.0,0.0,0.0
6,6,0.9999978,-0.049986847,-1.0,0.8347481,8077.4537403955155,5,11044.916485968944,8077.4537403955155,131.0360374308821,4063.5075650831805,60.96616918530647,40.38726870197758,-0.4438387464743308,28.206295282443158,True,0.6,False,0.48989794855663565,True,0.652,False,0.4763360158543546,False,0.0,False,0.0,35,7000,200,200.0,200,0.0,1.2046875,-0.061247274,-1.2192992,0.8405174,10121.073402629623,5,11306.790048281418,10121.073402629623,7519.250763662484,1348.3781639505657,60.96410216296435,50.60536701314812,-0.15707977518567554,21.86809244567548,True,1.0,True,0.0,True,0.816,False,0.3874841932259947,False,0.0,False,0.0,40,8000,200,200.0,200,0.0,102378,0.005832267001096625,44.21195114799957,1.2386469550001493,1.1456994489999488,0.00817551000000094,0.00941115599925979,539.2293416069988,41.804185810999115,0.5,-0.41372466,-5.9233513,0.769022,0.0034818659,0.0009765625,9.174027e-09,0.0007574702,48.22223,40.562023,25.784704,3.2939904,56.834614,60.960953,-12.585026,-114.96175,28.49467,0.0,-16.395164,-114.22601,21.36359,0.0,-16.240623,-114.25865,21.251686,238.71597,238.25424,7000,0.99999976,-0.06577381,-1.0,0.8273129,0.07514376,0.046176706,0.0274219,0.011269125,60.960953,3.5024986,-1.0,14.992854,0.0,0.0,0.0,0.0
7,7,0.9999985,-0.072795115,-1.0,0.83252877,9538.471409255886,5,10818.321987618463,9538.471409255886,6160.829168405823,1724.8287560341623,60.958192208956575,47.69235704627945,-0.7978169196123673,24.469439047615282,True,0.8,False,0.4,True,0.772,False,0.41954260808647315,False,0.0,False,0.0,40,8000,200,200.0,200,0.0,1.1858004,-0.086785085,-1.1885896,0.8312433,8197.652103417196,5,11063.291734266779,8197.652103417196,-132.27511658456288,4211.430580565784,60.9629099168002,40.988260517085976,-0.9958375087533645,28.430477595085037,True,0.8,False,0.4000000000000001,True,0.669,False,0.47057305490221174,False,0.0,False,0.0,45,9000,200,200.0,200,0.0,103378,0.005795769999167533,38.94638789199962,1.2599157969998487,1.126860061998741,0.008050387999901432,0.0137487690008129,578.1800050110014,36.53201710600115,0.5,-0.41241896,-10.461021,0.88508403,0.0031470563,0.0009765625,9.490351e-13,0.00079178106,48.28911,40.784733,23.460503,3.4687972,58.790543,60.96242,-14.489711,-128.45917,29.155878,0.0,-18.022697,-130.19257,23.625217,0.0,-18.013353,-129.75323,23.565819,199.92206,200.16548,8000,0.9999999,-0.06114946,-1.0,0.8284628,0.07436243,0.045885567,0.027125534,0.0112394625,60.96242,2.8374934,-1.0,13.749929,0.0,0.0,0.0,0.0
8,8,0.9999986,-0.11992206,-1.0,0.80669457,10634.191052907452,5,11496.609434738648,10634.191052907452,9370.520619150127,976.651746724545,60.95420732317947,53.170955264537255,-0.5994817550691479,20.031063587147592,True,1.0,True,0.0,True,0.869,False,0.3374003556607491,False,0.0,False,0.0,45,9000,200,200.0,200,0.0,1.2341468,-0.088582,-1.1509728,0.8335352,6070.896595680591,5,11546.406718420427,6070.896595680591,356.19778907713754,4820.835879777744,60.95119838810374,30.354482978402963,-0.7791996006618492,29.18556769899936,True,0.6,False,0.48989794855663565,True,0.474,False,0.4993235424051224,False,0.0,False,0.0,50,10000,200,200.0,200,0.0,104378,0.005811590001030709,31.933197787004246,1.2072187300000223,1.1568604479998612,0.008185359001799952,0.009414776000994607,610.117456530008,29.545706884000538,0.5,-0.40751883,-9.868364,0.89884627,0.0032502748,0.0009765625,3.2068098e-12,0.0007530944,48.99486,40.75656,26.890589,3.355347,56.779335,60.97482,-11.800217,-128.46118,29.765226,0.0,-16.001892,-127.75641,22.208506,0.0,-16.11474,-128.79308,22.374914,268.26825,267.64517,9000,0.9999989,-0.06888699,-1.0,0.82763934,0.07412753,0.045764726,0.02684565,0.011305462,60.97482,4.024029,-1.0,15.818027,0.0,0.0,0.0,0.0
9,9,0.99999774,-0.052817397,-1.0,0.8372064,10130.071494808679,5,11011.258620819595,10130.071494808679,9085.436658405382,745.7584782932864,60.968116844639646,50.650357474043396,-0.8392164211149946,22.522638590159392,True,1.0,True,0.0,True,0.827,False,0.37824727361872684,False,0.0,False,0.0,50,10000,200,200.0,200,0.0,1.205741,-0.04918772,-1.1589901,0.84047353,8521.414243009123,5,10683.560962370511,8521.414243009123,2769.690410241349,2955.6884432627785,60.96416662094956,42.60707121504563,-0.7970620702354968,27.47908190542559,True,0.8,False,0.4000000000000001,True,0.691,False,0.46208116170214086,False,0.0,False,0.0,55,11000,200,200.0,200,0.0,105378,0.00575312299952202,40.159896391000075,1.176550557000155,1.1487252389997593,0.012122705998990568,0.009368667000671849,650.2815524710077,37.807376099000976,0.5,-0.40072644,-10.739906,0.9427282,0.0032093604,0.0009765625,5.54064e-13,0.0007239901,49.33326,40.666687,24.818558,3.5428314,57.18127,60.964066,-12.097517,-124.42379,30.210232,0.0,-16.616581,-124.26373,22.935812,0.0,-16.502575,-123.29818,22.960295,264.94672,264.80054,10000,0.9999982,-0.06234007,-1.0,0.8297585,0.073648654,0.045503486,0.026438372,0.011234446,60.964066,4.024703,-1.0,15.721042,0.0,0.0,0.0,0.0
