trainer/Advantage Score Max,trainer/Advantage Score Mean,trainer/Advantage Score Min,trainer/Advantage Score Std,trainer/Advantage Weights Max,trainer/Advantage Weights Mean,trainer/Advantage Weights Min,trainer/Advantage Weights Std,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/batch,trainer/epoch_time,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/std Max,trainer/policy/std Mean,trainer/policy/std Min,trainer/policy/std Std,trainer/rewards Max,trainer/rewards Mean,trainer/rewards Min,trainer/rewards Std,trainer/terminals Max,trainer/terminals Mean,trainer/terminals Min,trainer/terminals Std
0.00018238182,-0.00045114825,-0.0015904306,0.00033519452,0.007822404,0.0078125,0.0077947173,5.2362493e-06,57.12367,47.51294,36.333855,4.2295628,47.512955,-0.00014053496,-0.9456456,-1.0009015,0.22735807,0.0,0.0,0.0,0.0,0.0,-0.00046015662,-0.0016408465,0.00033512517,0.9459361,0.9451199,0,0.012436389923095703,0.0010804998,-1.1346662e-05,-0.00094904995,0.0002513165,0.049787067,0.049787063,0.049787067,3.7252903e-09,0.0,-0.9453125,-1.0,0.22736925,0.0,0.0,0.0,0.0
0.20589972,-0.0141294,-0.19642377,0.06772813,0.0120205665,0.0078124995,0.0053761476,0.0010662866,52.722355,44.653946,34.034283,4.002737,48.78404,-1.5072685,-4.1282167,-4.935077,0.6027828,0.0,0.0,0.0,0.0,-1.5818819,-4.139326,-5.342165,0.59521157,17.405516,0.022263639,1000,10.784559488296509,0.98441505,-0.17000656,-0.9916878,0.5440858,0.062292296,0.05434626,0.042305175,0.0037483317,0.0,-0.953125,-1.0,0.21137108,0.0,0.0,0.0,0.0
0.5,-0.055095606,-0.65044975,0.15805149,0.022557877,0.0078125,0.0022595932,0.0026470823,51.952255,44.237457,31.87779,3.6017797,52.84767,-2.1769416,-8.372929,-9.522278,1.0852208,-5.3269987,-8.380784,-9.352662,0.6447669,-2.429347,-8.401682,-9.624233,1.0869832,0.78315204,0.028017055,2000,10.721362829208374,0.98483485,-0.17051658,-0.9912628,0.53861594,0.07574282,0.056027967,0.024144357,0.010001732,0.0,-0.96875,-1.0,0.17399263,0.0,0.0,0.0,0.0
0.19742203,-0.08403866,-0.7322531,0.17039984,0.013043135,0.0078125,0.002031779,0.00222228,51.72133,44.364265,32.925632,3.783455,56.86613,-6.1020293,-12.521805,-14.493802,1.2892762,-6.993183,-12.467852,-14.887228,1.158685,-5.9865856,-12.471745,-14.590117,1.2710019,0.113846965,0.023891319,3000,10.645687103271484,0.9846929,-0.17720732,-0.99115396,0.53662294,0.08697406,0.057899673,0.016502423,0.015901502,0.0,-0.9609375,-1.0,0.1937437,0.0,0.0,0.0,0.0
0.5,-0.114758745,-0.96190643,0.1952107,0.024970144,0.0078125,0.0013416067,0.002786582,51.24393,44.371304,33.324898,3.8677485,61.09655,-8.392711,-16.78964,-19.865341,1.5044577,-9.055594,-16.7327,-20.062567,1.4834096,-8.810583,-16.76751,-19.754505,1.4767872,0.0848711,0.0333029,4000,12.080858945846558,0.9854468,-0.18093477,-0.9909517,0.54362094,0.09764252,0.060079295,0.013249641,0.021088824,0.0,-0.9765625,-1.0,0.1512884,0.0,0.0,0.0,0.0
0.21328163,-0.078226775,-0.9568634,0.18637705,0.013237933,0.0078125,0.0012748089,0.0022159668,51.63089,44.035038,31.68569,3.5339324,64.8759,-10.029625,-20.726746,-23.25514,1.787931,-10.567643,-20.715893,-23.511312,1.681169,-10.407139,-20.849085,-23.703249,1.7325643,0.087539844,0.059022184,5000,12.812209844589233,0.98290527,-0.19880992,-0.99545175,0.5452331,0.11232778,0.06251451,0.011880566,0.025096737,0.0,-0.9765625,-1.0,0.1512884,0.0,0.0,0.0,0.0
0.25226212,-0.04852909,-0.4760952,0.12863211,0.013823091,0.0078125,0.0032207875,0.0018536638,52.504894,43.33983,32.424767,4.211341,67.65328,-11.715233,-24.259905,-26.805407,2.177473,-12.231112,-24.120842,-26.970997,2.1342108,-11.973066,-24.329525,-27.01814,2.1580093,0.08613281,0.03596138,6000,13.018746137619019,0.9867423,-0.17701556,-0.99252814,0.54331225,0.12653396,0.064751476,0.0112942085,0.028320827,0.0,-0.984375,-1.0,0.12401959,0.0,0.0,0.0,0.0
0.34153938,-0.04533069,-0.49328423,0.14839613,0.016232353,0.0078125,0.0030567711,0.002256316,51.134468,44.13965,35.704437,3.1150448,72.475815,-12.965586,-28.309856,-32.179474,2.3311818,-13.460212,-28.297672,-32.165005,2.2982714,-12.7150345,-28.248672,-31.843672,2.350673,0.09088575,0.057130873,7000,14.073083877563477,0.9918823,-0.17493558,-0.9976716,0.5392651,0.13867527,0.06628689,0.011017569,0.030833948,0.0,-0.984375,-1.0,0.12401959,0.0,0.0,0.0,0.0
0.38564873,-0.077982195,-0.60258293,0.19700326,0.018346746,0.0078125,0.0025420957,0.0029459058,50.056747,43.70894,31.66934,3.5786073,75.02995,-12.358987,-31.200699,-35.903286,3.8253272,-12.806418,-31.35823,-36.319283,3.899591,-12.555527,-31.203913,-35.788513,3.8448515,0.13051964,0.05313324,8000,14.114654541015625,0.9915639,-0.16317384,-0.9981137,0.53901654,0.14623176,0.06684155,0.010690221,0.03246452,0.0,-0.9609375,-1.0,0.1937437,0.0,0.0,0.0,0.0
0.49240494,-0.07510873,-0.5359192,0.16680421,0.022921285,0.0078125,0.002931217,0.0029922954,52.398754,43.561325,29.722292,4.034103,78.02635,-13.117162,-34.453712,-38.94019,4.791959,-13.394038,-34.378807,-39.403885,4.748902,-13.210351,-34.42435,-39.111107,4.794317,0.11037988,0.066381745,9000,15.576965808868408,0.9869613,-0.14729711,-0.9981789,0.54302025,0.15009987,0.066765994,0.010557764,0.03341943,0.0,-0.9609375,-1.0,0.1937437,0.0,0.0,0.0,0.0
0.27869415,-0.060257226,-0.6201401,0.16245286,0.014637123,0.0078125,0.002425148,0.0024076141,51.38055,44.391705,35.816338,3.7053015,82.2451,-13.650395,-37.830696,-43.64784,4.9833236,-13.841552,-37.883377,-43.91039,4.951956,-13.810783,-37.689987,-43.379597,4.96365,0.0990082,0.08781611,10000,15.992941856384277,0.98427755,-0.16502944,-0.9990177,0.54537797,0.15227593,0.06617162,0.01043038,0.0337782,0.0,-0.953125,-1.0,0.21137108,0.0,0.0,0.0,0.0
0.414608,-0.055443376,-0.601284,0.17741145,0.01882412,0.0078125,0.0024678686,0.002732527,53.937008,45.02665,34.44482,4.036114,86.67656,-19.81202,-41.488922,-48.416176,3.14784,-20.747105,-41.591427,-48.457108,3.1256642,-20.564596,-41.530476,-48.435455,3.118816,0.098897226,0.07492373,11000,16.028096914291382,0.9861608,-0.18426572,-0.9996675,0.54607767,0.15214907,0.065580584,0.010119392,0.033785857,0.0,-0.984375,-1.0,0.12401959,0.0,0.0,0.0,0.0
0.36062622,-0.053815424,-0.72906494,0.15648904,0.017075015,0.0078125,0.0019313786,0.0024358882,52.97238,44.90378,31.445024,3.8289459,89.17354,-15.734522,-44.158394,-52.98027,5.0809193,-15.703432,-44.154312,-52.805634,5.121606,-15.760421,-44.248558,-52.770306,5.1063404,0.089266345,0.06482508,12000,14.50734257698059,0.9877242,-0.18765639,-0.9975184,0.5480747,0.1530945,0.065204814,0.010087739,0.03388549,0.0,-0.984375,-1.0,0.12401959,0.0,0.0,0.0,0.0
0.5,-0.070597306,-0.9320679,0.19667687,0.022656918,0.0078125,0.0012921784,0.003356092,52.87633,45.048233,33.934364,3.826745,92.39068,-20.461338,-47.19301,-55.195496,4.475432,-20.487577,-47.30548,-54.862373,4.436604,-19.646067,-47.21268,-54.853462,4.4466786,0.10410757,0.09745442,13000,13.297432899475098,0.99040395,-0.17272167,-0.99912256,0.54480356,0.15269308,0.06466845,0.009983158,0.033779852,0.0,-0.984375,-1.0,0.12401959,0.0,0.0,0.0,0.0
0.34329987,-0.07703185,-0.8433914,0.1783016,0.0171125,0.0078125,0.0015942869,0.002470519,52.667004,45.160244,31.425215,4.222712,94.522156,-15.766531,-49.27346,-57.834393,6.645348,-15.559088,-49.23416,-57.911728,6.5966444,-15.483543,-49.334106,-58.117657,6.657541,0.10768926,0.06809884,14000,15.0197012424469,0.9993246,-0.15996863,-0.9992273,0.54257,0.15196665,0.06436284,0.009914149,0.033798665,0.0,-0.9609375,-1.0,0.1937437,0.0,0.0,0.0,0.0
0.37942505,-0.06500147,-0.69644547,0.1884211,0.017751317,0.0078124995,0.0020641505,0.0028896867,54.043987,46.014065,35.028336,3.7766633,97.79535,-18.178913,-51.618748,-60.5217,6.6731644,-18.55938,-51.750305,-60.84425,6.5987363,-18.410688,-51.690964,-60.477787,6.5694165,0.13842763,0.10583567,15000,14.756957054138184,0.998062,-0.16141842,-0.99933475,0.5431595,0.15205464,0.063952595,0.009804688,0.03380831,0.0,-0.96875,-1.0,0.17399263,0.0,0.0,0.0,0.0
0.2414093,-0.106954046,-1.4335976,0.20890778,0.014691595,0.0078125,0.00051543803,0.0023492808,55.338043,45.995667,34.277416,3.9487588,99.387054,-15.700842,-53.397644,-65.461266,8.093329,-15.624791,-53.143856,-64.15909,8.137472,-15.7499075,-53.427155,-64.99241,8.160841,0.21546267,0.08462891,16000,14.786235094070435,0.9971439,-0.16397704,-0.99812365,0.5489882,0.1517387,0.06350199,0.009722989,0.033676825,0.0,-0.96875,-1.0,0.17399263,0.0,0.0,0.0,0.0
0.39463425,-0.059805468,-0.64701843,0.16973726,0.018334359,0.0078125,0.0022829568,0.0026797506,55.445606,45.68147,31.55185,4.375808,103.0722,-28.233582,-57.29995,-71.801895,4.594246,-27.997057,-57.14737,-70.70575,4.5336986,-27.9908,-57.41851,-71.336784,4.5832376,0.14763318,0.118176475,17000,14.68926215171814,0.9945559,-0.19559583,-0.9980228,0.5471756,0.15086904,0.063351475,0.009511317,0.033610415,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
0.5,-0.07142722,-0.91077805,0.1817566,0.02290813,0.0078125,0.0013633376,0.003209098,54.560795,46.661583,35.102386,3.8927474,104.866455,-13.32728,-58.16516,-68.16923,8.929102,-13.152599,-58.11077,-68.242325,8.904403,-13.454606,-58.116386,-68.188515,8.876409,0.1486301,0.13433288,18000,15.963397979736328,0.99636656,-0.16979055,-0.99831665,0.54563046,0.15105051,0.06299264,0.009524079,0.03358449,0.0,-0.9609375,-1.0,0.1937437,0.0,0.0,0.0,0.0
