Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/goal_achieved Max,eval/env_infos/final/goal_achieved Mean,eval/env_infos/final/goal_achieved Min,eval/env_infos/final/goal_achieved Std,eval/env_infos/goal_achieved Max,eval/env_infos/goal_achieved Mean,eval/env_infos/goal_achieved Min,eval/env_infos/goal_achieved Std,eval/env_infos/initial/goal_achieved Max,eval/env_infos/initial/goal_achieved Mean,eval/env_infos/initial/goal_achieved Min,eval/env_infos/initial/goal_achieved Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/goal_achieved Max,expl/env_infos/final/goal_achieved Mean,expl/env_infos/final/goal_achieved Min,expl/env_infos/final/goal_achieved Std,expl/env_infos/goal_achieved Max,expl/env_infos/goal_achieved Mean,expl/env_infos/goal_achieved Min,expl/env_infos/goal_achieved Std,expl/env_infos/initial/goal_achieved Max,expl/env_infos/initial/goal_achieved Mean,expl/env_infos/initial/goal_achieved Min,expl/env_infos/initial/goal_achieved Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/total (s),time/training (s),trainer/Advantage Score Max,trainer/Advantage Score Mean,trainer/Advantage Score Min,trainer/Advantage Score Std,trainer/Advantage Weights Max,trainer/Advantage Weights Mean,trainer/Advantage Weights Min,trainer/Advantage Weights Std,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/std Max,trainer/policy/std Mean,trainer/policy/std Min,trainer/policy/std Std,trainer/rewards Max,trainer/rewards Mean,trainer/rewards Min,trainer/rewards Std,trainer/terminals Max,trainer/terminals Mean,trainer/terminals Min,trainer/terminals Std
0,0,0.99999905,-0.105286926,-1.0,0.78810793,7500.567979014204,5,11256.965782083684,7500.567979014204,1902.4911096583419,4144.91538384604,60.95468717057999,37.50283989507102,-0.7379591666153609,27.796850426211783,True,0.6,False,0.48989794855663565,True,0.581,False,0.493395378981198,False,0.0,False,0.0,5,1000,200,200.0,200,0.0,1.1995234,-0.105113365,-1.173068,0.8332875,6240.177602236379,5,11425.946921676225,6240.177602236379,147.48173611260265,4883.592277149269,60.96842800734645,31.200888011181892,-0.3619470505854346,29.705021336950907,True,0.6,False,0.48989794855663565,True,0.498,False,0.4999959999839998,False,0.0,False,0.0,10,2000,200,200.0,200,0.0,96378,0.005599467000138247,44.1721959839997,2.3221554289993946,1.116448319000483,0.007882580001023598,0.02139377699859324,325.1994506840001,40.69871641200007,0.5,-0.30403173,-5.703682,0.65305513,0.0030952217,0.0009765625,1.2654415e-08,0.0007447865,46.640263,38.376648,23.691002,3.5247328,58.570045,58.729828,-19.531229,-102.93523,21.035673,-0.95875597,-20.328072,-103.07168,19.92928,-0.9078153,-19.962639,-101.81845,19.902815,39.21585,38.833508,1000,0.9999997,-0.06930797,-1.0,0.82389754,0.07854605,0.050564304,0.030345062,0.011444817,60.965794,0.20868841,-1.0,6.112257,0.0,0.0,0.0,0.0
1,1,0.99999934,-0.057670463,-1.0,0.81761116,7894.453905536022,5,11494.452036309936,7894.453905536022,979.8370006146108,3604.9240967359924,60.94094638530159,39.47226952768011,-0.8324787077102728,28.671016611805843,True,0.8,False,0.4000000000000001,True,0.64,False,0.48,False,0.0,False,0.0,10,2000,200,200.0,200,0.0,1.2348995,-0.010451345,-1.1816815,0.86252856,8016.301404561802,5,10927.00295688607,8016.301404561802,128.25131326874734,3974.6230179571926,60.9486665901769,40.08150702280902,-0.7005294784109495,28.61503331444381,True,0.8,False,0.4,True,0.653,False,0.4760157560417512,False,0.0,False,0.0,15,3000,200,200.0,200,0.0,97378,0.00563260499984608,36.42114608000338,1.216122923000512,1.191253659000722,0.007953904001624323,0.012438510000720271,361.6247503440027,33.98774447899996,0.5,-0.38405058,-7.1270294,0.7342748,0.0033936838,0.0009765625,8.0522605e-10,0.00077228714,47.620518,39.635612,22.45263,3.5318222,58.428482,60.968384,-18.075525,-149.76414,22.2256,0.0,-18.8168,-148.90192,20.318655,0.0,-18.803566,-148.66801,20.302065,53.46298,52.93379,2000,0.99999964,-0.06902709,-1.0,0.82470477,0.077098705,0.048077065,0.028232392,0.011369754,60.968384,0.43342468,-1.0,7.184666,0.0,0.0,0.0,0.0
2,2,0.99999946,0.00585846,-1.0,0.8418303,10132.392891648937,5,10876.909494470121,10132.392891648937,8802.702737304433,720.8226366549445,60.95624202747295,50.66196445824469,-0.8570001228167586,22.508904811789105,True,1.0,True,0.0,True,0.827,False,0.37824727361872684,False,0.0,False,0.0,15,3000,200,200.0,200,0.0,1.2109736,-0.085914046,-1.1931483,0.82103586,8067.793039133227,5,11367.163413093136,8067.793039133227,96.54055467880093,4180.510208768229,60.95687623899439,40.338965195666134,-0.8472187719027461,27.94709682066742,True,0.8,False,0.4000000000000001,True,0.646,False,0.4782091592598368,False,0.0,False,0.0,20,4000,200,200.0,200,0.0,98378,0.005629138999211136,31.293653939999786,1.180248375998417,1.1229941950005013,0.008156976000464056,0.013159088999600499,392.9235087340021,28.96346616500159,0.5,-0.39367902,-5.4011993,0.7381053,0.0034215986,0.0009765625,2.5616066e-08,0.00076608546,47.581444,39.91038,22.539503,3.4814463,58.984802,60.965054,-17.892893,-113.75763,24.915735,0.0,-19.038853,-111.53343,22.005476,0.0,-19.101871,-107.80534,22.056564,88.65216,88.57767,3000,0.9999998,-0.05973442,-1.0,0.82753444,0.077349454,0.04758897,0.027892958,0.01162647,60.965054,0.98462355,-1.0,9.307396,0.0,0.0,0.0,0.0
3,3,0.99999976,-0.04918361,-1.0,0.84018326,6045.086247302153,5,11546.56736708115,6045.086247302153,151.9674980149651,4634.146112822375,60.9571752478474,30.22543123651077,-0.7365258813611183,28.075829054736296,True,0.4,False,0.48989794855663565,True,0.451,False,0.4975932073491357,False,0.0,False,0.0,20,4000,200,200.0,200,0.0,1.2181504,-0.080620065,-1.1670792,0.8345334,8477.176076680085,5,11546.419709072921,8477.176076680085,998.7490839556242,3839.7744535764914,60.97279918629886,42.385880383400426,-0.6755425338403199,26.941935865566776,True,0.8,False,0.4000000000000001,True,0.676,False,0.46799999999999997,False,0.0,False,0.0,25,5000,200,200.0,200,0.0,99378,0.0056021100008365465,32.88799218100394,1.1654425030010316,1.1317606500015245,0.008040906001042458,0.012745895999614731,425.8166241490053,30.564400115999888,0.5,-0.39375192,-6.8174057,0.8099377,0.0031919023,0.0009765625,1.406798e-09,0.00078442466,48.137676,40.039238,21.762436,3.4553385,58.34885,60.968193,-16.532627,-109.29494,24.068275,0.0,-18.413527,-109.02556,20.307074,0.0,-18.347652,-110.031715,20.257221,110.877014,110.875565,4000,0.9999999,-0.062615685,-1.0,0.8273441,0.07644406,0.04725182,0.027412975,0.011564595,60.968193,1.3785734,-1.0,10.3891735,0.0,0.0,0.0,0.0
4,4,0.9999998,-0.041379705,-1.0,0.83793396,8620.67168476381,5,10936.359031115568,8620.67168476381,2055.510063569578,3333.917701811347,60.96261586805957,43.103358423819046,-0.7768682490780388,27.540422579216738,True,1.0,True,0.0,True,0.704,False,0.45649096376598747,False,0.0,False,0.0,25,5000,200,200.0,200,0.0,1.2163703,-0.07686916,-1.1712501,0.83802044,8342.274626725382,5,10573.625323455413,8342.274626725382,4241.951209700394,2217.900706988269,60.95281984416094,41.71137313362691,-0.4136622345334621,26.088097222657918,True,0.6,False,0.48989794855663565,True,0.645,False,0.478513322698543,False,0.0,False,0.0,30,6000,200,200.0,200,0.0,100378,0.005666388999088667,35.72957060799672,1.1945220910001808,1.1919911919994775,0.008012757998585585,0.012812540000595618,461.55070517600143,33.31656563799879,0.5,-0.3454581,-4.397873,0.705874,0.0031971012,0.0009765625,1.7804017e-07,0.0007555074,47.76995,39.918278,25.616825,3.587632,57.715855,60.95588,-16.316282,-108.98706,24.502848,0.0,-17.689629,-108.606575,21.000101,0.0,-17.807343,-108.83324,21.062637,104.162796,105.16613,5000,0.99999994,-0.06479354,-1.0,0.8282639,0.07671036,0.047109704,0.027397601,0.011566025,60.95588,1.3050905,-1.0,10.053499,0.0,0.0,0.0,0.0
5,5,0.999999,8.288066e-05,-1.0,0.8358158,7887.162179329922,5,11243.469562061186,7887.162179329922,2442.4419553434714,3636.950497773315,60.9572504925871,39.43581089664961,-0.44612802701848975,26.11581955679993,True,0.6,False,0.48989794855663565,True,0.593,False,0.49127487214389465,False,0.0,False,0.0,30,6000,200,200.0,200,0.0,1.2262626,-0.096937954,-1.1676428,0.8332106,8572.629584028173,5,11486.340906399935,8572.629584028173,3745.9788550340404,2994.963109094313,60.95568024505668,42.86314792014086,-0.6740342782747893,26.430028709860498,True,0.6,False,0.48989794855663565,True,0.679,False,0.4668607929565301,False,0.0,False,0.0,35,7000,200,200.0,200,0.0,101378,0.005664921998686623,41.55750487699879,1.2082503510009701,1.1196020369989128,0.005805901999337948,0.0073730929998419015,503.11238988499827,39.21080857200104,0.5,-0.45171997,-6.413574,0.8669002,0.0034035724,0.0009765625,3.3641918e-09,0.0007972659,48.773075,40.282776,25.973957,3.5199137,57.631447,60.96448,-14.641745,-109.11939,26.400341,0.0,-17.47763,-111.77326,21.127802,0.0,-17.382019,-110.15143,21.114155,166.36563,166.54553,6000,0.99999994,-0.073561825,-1.0,0.82457525,0.075321406,0.046721112,0.02686942,0.011496651,60.96448,2.3532434,-1.0,12.624292,0.0,0.0,0.0,0.0
6,6,0.99999994,-0.03750499,-1.0,0.8580725,8859.054501029861,5,10875.090821657754,8859.054501029861,2921.253401293649,3008.557172380191,60.952969080431174,44.29527250514931,-0.7444814654181492,26.779880487651415,True,0.8,False,0.4000000000000001,True,0.721,False,0.4485075250204839,False,0.0,False,0.0,35,7000,200,200.0,200,0.0,1.1785408,-0.11842554,-1.1791718,0.8094726,9025.057842085353,5,11554.676525223385,9025.057842085353,116.38122235361209,4463.803317083548,60.9501100574314,45.125289210426764,-0.42124898793386634,26.413828816449715,True,0.8,False,0.4000000000000001,True,0.736,False,0.44079927404658914,False,0.0,False,0.0,40,8000,200,200.0,200,0.0,102378,0.005612699998891912,34.242253422999056,1.1703312549998373,1.1256520780007122,0.008087146999969264,0.009321730000010575,537.3594110949962,31.923248512999635,0.5,-0.4298398,-11.167137,0.8816686,0.003334983,0.0009765625,2.4498928e-13,0.0007838369,48.999264,40.298656,24.414717,3.5650468,57.258774,60.96593,-14.437701,-142.21175,26.440569,0.0,-17.056599,-141.5862,21.31138,0.0,-16.940205,-140.44397,21.259071,162.92448,162.89357,7000,0.99999994,-0.0689397,-1.0,0.8269459,0.07513921,0.046446133,0.026909065,0.011440309,60.96593,2.2227604,-1.0,12.485485,0.0,0.0,0.0,0.0
7,7,0.99999994,-0.047407065,-1.0,0.8410859,9691.111404341184,5,11292.123785442218,9691.111404341184,6944.867242402353,1594.9146359023039,60.955945088432344,48.45555702170592,-0.791528857632374,23.48111505908357,True,0.6,False,0.48989794855663565,True,0.778,False,0.4155911452377204,False,0.0,False,0.0,40,8000,200,200.0,200,0.0,1.1806918,-0.038458325,-1.1889458,0.8668653,4311.123783639811,5,10576.267327328145,4311.123783639811,417.8508703138072,3648.3056853419066,60.93898051849979,21.555618918199055,-0.7225134187840043,27.25227045650124,True,0.2,False,0.4,True,0.32,False,0.46647615158762396,False,0.0,False,0.0,45,9000,200,200.0,200,0.0,103378,0.005542773000343004,46.400355809002576,1.1813224980014638,1.0825561759993434,0.008168280000973027,0.00949500700153294,583.7639436499976,44.11327107499892,0.5,-0.38118693,-7.0314636,0.8452155,0.003193315,0.0009765625,9.1726654e-10,0.0007490591,47.613506,40.48139,25.856693,3.5280378,56.280716,60.971172,-12.130781,-113.86588,27.212248,0.0,-15.836782,-115.41587,21.051767,0.0,-15.714196,-117.297356,20.97551,210.50351,210.1875,8000,0.99999994,-0.06251875,-1.0,0.8291238,0.07401631,0.046047036,0.02642321,0.011294826,60.971172,3.125983,-1.0,14.096289,0.0,0.0,0.0,0.0
8,8,0.9999998,-0.0532407,-1.0,0.8430425,5157.112342179296,5,10819.914480051755,5157.112342179296,150.49602742056373,4100.914609595837,60.96096275394881,25.78556171089648,-0.7787342492164496,28.063823271360224,True,0.4,False,0.48989794855663565,True,0.385,False,0.4865953144040744,False,0.0,False,0.0,45,9000,200,200.0,200,0.0,1.1733233,0.009874643,-1.1562535,0.85112864,8480.613016369314,5,10525.899137701132,8480.613016369314,2378.208817885105,3074.76154355592,60.9546484763383,42.40306508184658,-0.7467057545776958,27.57325311073844,True,0.8,False,0.4000000000000001,True,0.688,False,0.4633098315382483,False,0.0,False,0.0,50,10000,200,200.0,200,0.0,104378,0.005597597000814858,43.49085538399959,1.2188459009994403,1.1525787680002395,0.008259842999905231,0.013553863000197452,627.2590205539982,41.09201941199899,0.5,-0.46892253,-11.053993,1.0206616,0.0032083213,0.0009765625,2.955336e-13,0.0008105914,49.336586,40.476715,28.183458,3.5386868,56.80027,60.971855,-13.102192,-125.46974,26.90224,0.0,-16.499147,-122.56418,21.761414,0.0,-16.27372,-121.14046,21.586407,181.21991,180.90201,9000,0.99999994,-0.06734086,-1.0,0.8295811,0.07443416,0.04588683,0.026327977,0.011419104,60.971855,2.5892239,-1.0,13.127573,0.0,0.0,0.0,0.0
9,9,0.99999905,0.010122979,-1.0,0.85286254,7682.369149897672,5,10453.874272250261,7682.369149897672,145.5562820111587,3849.994055476963,60.95424458734675,38.41184574948837,-0.7437279019962691,28.63833028502601,True,0.6,False,0.48989794855663565,True,0.616,False,0.4863578929142613,False,0.0,False,0.0,50,10000,200,200.0,200,0.0,1.155745,-0.05085007,-1.1522558,0.8572165,7173.0091258575585,5,10526.350695112635,7173.0091258575585,1328.4285367269551,3712.6920891856453,60.953299067314575,35.8650456292878,-0.6391517712254349,29.145064158174435,True,0.8,False,0.4000000000000001,True,0.573,False,0.49464229499710194,False,0.0,False,0.0,55,11000,200,200.0,200,0.0,105378,0.005721434999941266,38.81755138799781,1.1706613440001092,1.2205912940007693,0.008128533998387866,0.013605566999103758,666.0808532079973,36.3988432139995,0.5,-0.4449401,-7.0283775,0.9478816,0.0032082957,0.0009765625,9.272754e-10,0.00076317287,48.57676,40.685184,28.982903,3.3662126,56.115826,60.9659,-12.308527,-136.14589,27.669708,0.0,-15.563104,-134.35904,21.676313,0.0,-15.401821,-134.40433,21.601103,202.86597,202.8086,10000,0.99999994,-0.06939232,-1.0,0.82772845,0.073928446,0.04562391,0.026160575,0.01133651,60.9659,2.9499784,-1.0,13.86347,0.0,0.0,0.0,0.0
10,10,0.9999998,-0.03518901,-1.0,0.8526826,9549.01041602427,5,10596.312742066246,9549.01041602427,7864.380131772134,907.5994636075535,60.95445315180875,47.74505208012136,-0.8427609903665496,24.42818413346503,True,1.0,True,0.0,True,0.773,False,0.4188925876641887,False,0.0,False,0.0,55,11000,200,200.0,200,0.0,1.202932,-0.09948833,-1.1514063,0.8458706,6186.7837160692725,5,11546.293659603796,6186.7837160692725,107.79759178502478,5021.352901374355,60.94171159036667,30.93391858034636,-0.7719447184284733,29.97797910790461,True,0.6,False,0.48989794855663565,True,0.499,False,0.499998999999,False,0.0,False,0.0,60,12000,200,200.0,200,0.0,106378,0.005647590000080527,38.672427048002646,1.2564134580006794,1.1139376379996975,0.00802212200142094,0.009380773999509984,704.7575719610013,36.27902546600126,0.5,-0.35301417,-6.661378,0.80201346,0.0030510754,0.0009765625,1.8372113e-09,0.0007564147,48.735622,41.06028,26.247473,3.4631927,56.99044,60.96615,-11.1366415,-143.07608,30.035973,0.0,-15.833452,-139.01083,21.629604,0.0,-15.906915,-138.72101,21.703377,297.38165,297.48962,11000,0.99999994,-0.06851816,-1.0,0.83005804,0.073624566,0.045553,0.025905393,0.011360642,60.96615,4.514574,-1.0,16.580002,0.0,0.0,0.0,0.0
11,11,0.99999994,-0.036165882,-1.0,0.86404663,6173.623732002862,5,10012.681687507704,6173.623732002862,98.5775879550197,4295.265184745504,60.96677642432535,30.868118660014296,-0.7573326944913511,28.6651889369371,True,0.6,False,0.48989794855663565,True,0.472,False,0.49921538437832613,False,0.0,False,0.0,60,12000,200,200.0,200,0.0,1.2117391,-0.09683834,-1.210264,0.8318376,8312.64073321492,5,10996.551926857468,8312.64073321492,104.03222688892332,4192.55262441782,60.96781924216059,41.56320366607457,-0.8574564600989419,28.019705372248414,True,0.8,False,0.4000000000000001,True,0.676,False,0.46799999999999997,False,0.0,False,0.0,65,13000,200,200.0,200,0.0,107378,0.005705592000595061,40.46759354200367,1.2086075750012242,1.1251056199998857,0.00815802800025267,0.009370220001073903,745.2293958250011,38.11064650700064,0.5,-0.40375894,-7.548523,0.8790436,0.0031645554,0.0009765625,3.2318745e-10,0.0007669777,48.857567,40.893524,25.821617,3.5165155,56.74797,60.972626,-11.616049,-121.537155,28.484072,0.0,-15.924334,-127.00294,21.668661,0.0,-15.752773,-126.44335,21.615133,243.05664,243.13147,12000,1.0,-0.07145636,-1.0,0.82876956,0.07377948,0.04541534,0.025733111,0.0113619035,60.972626,3.631312,-1.0,15.0988,0.0,0.0,0.0,0.0
