trainer/Advantage Score Max,trainer/Advantage Score Mean,trainer/Advantage Score Min,trainer/Advantage Score Std,trainer/Advantage Weights Max,trainer/Advantage Weights Mean,trainer/Advantage Weights Min,trainer/Advantage Weights Std,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/batch,trainer/epoch_time,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/std Max,trainer/policy/std Mean,trainer/policy/std Min,trainer/policy/std Std,trainer/rewards Max,trainer/rewards Mean,trainer/rewards Min,trainer/rewards Std,trainer/terminals Max,trainer/terminals Mean,trainer/terminals Min,trainer/terminals Std
0.0017980719,-0.0005228991,-0.0020469532,0.0006459558,0.007848843,0.0078125,0.0077887163,1.0094985e-05,43.9596,38.395557,26.953579,3.0414178,38.39723,-0.00034977912,-0.5011783,-1.0020938,0.49968934,0.0,-0.00047000014,-0.003780826,0.00083871244,0.0,-0.0020219623,-0.00696705,0.00092152884,0.50020677,0.4987187,0,0.013005733489990234,0.0026617688,9.171915e-05,-0.0046343165,0.00045673398,0.049787067,0.04978707,0.049787067,3.7252903e-09,0.0,-0.5,-1.0,0.5,0.0,0.0,0.0,0.0
0.19531322,-0.039161727,-0.6948812,0.11435938,0.012200287,0.0078125,0.0020566338,0.0015519956,42.46099,36.2349,23.614054,3.366167,38.325096,-0.081873804,-2.0945525,-4.8905377,1.8000993,-0.029390492,-2.104488,-5.368195,1.7661418,-0.07860325,-2.08494,-5.400026,1.7636257,0.038777594,0.039066102,1000,8.641276836395264,0.9998424,-0.07623565,-0.9999751,0.8087419,0.057947025,0.054353923,0.051972512,0.0016449301,0.0,-0.5,-1.0,0.5,0.0,0.0,0.0,0.0
0.41544342,-0.053291555,-0.51692176,0.13003384,0.019268347,0.0078125,0.002985399,0.0022154362,42.162113,34.95266,22.984575,3.501341,38.889336,-0.013669394,-4.0293703,-10.669587,3.441831,0.0,-3.9037793,-10.219692,3.4203203,-0.007023908,-3.9561887,-9.950173,3.4199102,0.12584625,0.12880468,2000,7.88416051864624,0.9999445,-0.060468484,-0.9999971,0.8209864,0.06283031,0.056102175,0.052625734,0.0025658433,0.0,-0.515625,-1.0,0.4997558,0.0,0.0,0.0,0.0
0.5,-0.08285391,-0.65023375,0.16560493,0.023754409,0.0078125,0.0023804766,0.0026932713,41.751125,34.074955,16.385223,3.5368266,39.200863,0.0,-5.1703568,-16.52723,5.013178,0.0,-5.1341724,-15.963728,4.8723326,0.0,-5.151644,-16.429573,4.8774996,0.12393396,0.13179855,3000,9.436234712600708,0.99995846,-0.07464251,-0.99999344,0.8208429,0.066457435,0.057584364,0.052902393,0.003431491,0.0,-0.4296875,-1.0,0.49503148,0.0,0.0,0.0,0.0
0.5,-0.054618,-0.63576317,0.1872878,0.02212053,0.0078125,0.0022818348,0.0030003204,39.25872,33.57321,23.510998,3.094543,41.583694,0.0,-7.7951355,-23.219585,7.1518035,0.0,-7.9374533,-23.89033,7.1523514,0.0,-7.985714,-23.69099,7.1593995,0.18223082,0.1937616,4000,11.272889137268066,0.99997765,-0.07643599,-0.9999968,0.8194584,0.06996861,0.058956545,0.05241284,0.004460593,0.0,-0.46875,-1.0,0.49902248,0.0,0.0,0.0,0.0
0.5,-0.08838841,-0.94610167,0.21667902,0.023224534,0.0078124995,0.0012878908,0.003343131,42.422237,33.77514,24.474216,3.3252962,42.638252,0.0,-8.975668,-26.716652,8.326458,0.0,-8.860018,-26.44824,8.200713,0.0,-8.861422,-26.418444,8.20738,0.3272698,0.26627803,5000,11.18065595626831,0.9999457,-0.070818216,-0.99999976,0.8170485,0.07391741,0.060210314,0.051173635,0.005797274,0.0,-0.4921875,-1.0,0.49993896,0.0,0.0,0.0,0.0
0.49394798,-0.10526483,-1.5629854,0.27136016,0.023054605,0.0078125,0.0003768149,0.0035266979,40.507492,33.21697,22.75237,3.3649933,42.109512,0.0,-8.760263,-26.477856,8.937889,0.0,-8.880448,-27.169312,8.925534,0.0,-8.881986,-26.72743,8.875982,0.33992508,0.36845732,6000,11.43674898147583,0.9999053,-0.06669762,-0.9999998,0.8224541,0.07836427,0.06117047,0.04909548,0.0074624144,0.0,-0.4453125,-1.0,0.49700028,0.0,0.0,0.0,0.0
0.5,-0.15046313,-0.8886552,0.24504103,0.025634034,0.0078125,0.0015945804,0.0038351342,40.71492,33.763218,21.537472,3.8127823,44.57658,0.0,-10.952753,-29.96598,9.827675,0.0,-10.8741865,-30.273779,9.796752,0.0,-10.785431,-29.780764,9.757058,0.4439235,0.47302917,7000,11.22741985321045,0.99999106,-0.06393715,-0.99999875,0.82224476,0.08228863,0.061484296,0.04602932,0.009299139,0.0,-0.515625,-1.0,0.4997558,0.0,0.0,0.0,0.0
0.5,-0.1529096,-1.7477794,0.28824273,0.025197258,0.0078125,0.00028116218,0.0038855555,41.37185,33.48448,21.230494,3.5728903,45.29998,0.0,-11.810477,-36.57502,11.638783,0.0,-11.8705845,-36.897057,11.482348,0.0,-11.778867,-36.73221,11.551511,0.9031186,0.8766031,8000,11.783240556716919,0.99998343,-0.0670144,-0.99999994,0.8175151,0.08587623,0.061037075,0.042726886,0.010978219,0.0,-0.515625,-1.0,0.4997558,0.0,0.0,0.0,0.0
0.5,-0.15309608,-1.2859116,0.28334776,0.025153853,0.0078125,0.0007069382,0.0039052018,40.510902,34.317444,24.254728,3.1904528,47.259434,0.0,-12.783178,-40.031624,12.988419,0.0,-12.912436,-39.330803,12.87266,0.0,-12.9383335,-40.77216,12.94409,0.5179444,0.50967914,9000,12.287612438201904,0.99997616,-0.095162004,-0.99999994,0.81837803,0.08720188,0.059941996,0.0393608,0.01207001,0.0,-0.5078125,-1.0,0.49993896,0.0,0.0,0.0,0.0
